iter	Passed	Remaining
0	121	121807
1	123	61686
2	125	41645
3	127	31782
4	129	25756
5	131	21755
6	133	18918
7	135	16764
8	137	15091
9	142	14085
10	144	12961
11	146	12050
12	148	11279
13	150	10602
14	152	10036
15	154	9520
16	156	9040
17	157	8605
18	158	8209
19	161	7898
20	163	7630
21	165	7342
22	166	7077
23	168	6857
24	171	6692
25	173	6501
26	175	6314
27	177	6153
28	179	5999
29	180	5846
30	182	5711
31	184	5581
32	186	5455
33	187	5333
34	189	5223
35	191	5132
36	193	5036
37	195	4941
38	196	4846
39	198	4768
40	200	4688
41	202	4608
42	203	4539
43	206	4476
44	207	4402
45	208	4329
46	210	4259
47	211	4194
48	213	4149
49	215	4093
50	217	4041
51	219	3999
52	221	3954
53	222	3905
54	224	3853
55	225	3805
56	227	3768
57	229	3732
58	231	3685
59	232	3640
60	234	3605
61	235	3565
62	236	3524
63	239	3497
64	240	3464
65	242	3436
66	244	3398
67	245	3365
68	247	3334
69	248	3306
70	250	3279
71	252	3251
72	254	3228
73	255	3201
74	258	3185
75	260	3163
76	261	3134
77	262	3108
78	264	3087
79	266	3065
80	268	3043
81	269	3020
82	270	2989
83	272	2972
84	273	2949
85	275	2925
86	276	2904
87	278	2882
88	280	2869
89	281	2851
90	283	2833
91	285	2815
92	287	2799
93	289	2786
94	290	2767
95	291	2748
96	293	2732
97	295	2718
98	297	2704
99	298	2687
100	299	2669
101	301	2652
102	303	2641
103	304	2627
104	306	2613
105	307	2596
106	309	2581
107	311	2575
108	313	2565
109	315	2552
110	319	2561
111	321	2550
112	323	2538
113	326	2534
114	328	2527
115	330	2518
116	332	2505
117	334	2500
118	336	2490
119	338	2481
120	340	2472
121	341	2460
122	343	2451
123	345	2440
124	346	2428
125	349	2422
126	350	2412
127	352	2402
128	354	2390
129	355	2380
130	357	2369
131	358	2356
132	359	2342
133	360	2329
134	361	2317
135	363	2306
136	364	2295
137	365	2282
138	366	2270
139	367	2258
140	368	2247
141	369	2234
142	371	2225
143	372	2214
144	373	2204
145	375	2193
146	376	2181
147	377	2170
148	379	2165
149	380	2156
150	382	2149
